,P1,P2,P3,P4,P5,P6,Average
DRIES,1,1,0,0,0,0,0.3333333333
PAINT,1,1,1,1,0,1,0.8333333333
FOAM,0,1,0,1,1,0,0.5
HERDING,1,0,0,0,0,0,0.1666666667
SHARES,1,0,1,0,1,0,0.5
WAGES,0,0,0,1,0,1,0.3333333333
SPYING,0,0,0,0,1,0,0.1666666667
DENTAL,1,1,1,1,1,1,1
SPRAY,1,1,1,1,0,0,0.6666666667
DATA,1,1,1,0,0,1,0.6666666667
CHAPTER,1,0,1,0,0,1,0.5
RELAX,0,1,1,1,0,0,0.5
PUSHED,0,1,1,1,0,1,0.6666666667
PAIN,1,0,1,0,0,1,0.5
POPPING,1,1,0,1,0,1,0.6666666667
RACKET,1,1,1,1,1,1,1
SCORE,1,1,1,0,1,1,0.8333333333
CORPSE,0,0,1,1,0,0,0.3333333333
